prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
I'm motivated.,Help me reach a more joyful mood.,motivated,joyful,"['1xSSV0IVVKfjSZgsVmxi5R', '4t8Q2xAsT1QwlOYWal7EMl', '3vpB1CpR9JWe3CLXb6JNeF', '3PbdrxBtAx6Rnw6eolHfxw', '4IdTMKaY3rEOiwB7ndvWXU', '2hevmDEQVP2GnNrLRbuILw', '67ibXkmavZoN2S6m86p70f']",4,4,4,3,4,3.8,"Tracks transition well from motivated to joyful, maintaining energy. Slight style variations, but overall engaging and smooth."
I'm feeling overwhelmed after a rough day.,,overwhelmed,sad,"['34Pub98D4GdddeECI2QFQk', '48T5Phhnd3AyxeNRq48SyW', '4z0TWcbvbpr7QAcoof5lB3', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks transition from intense to calming, aligning with moving from overwhelmed to relaxed. Cohesion slightly off due to varied styles. Good artist diversity and overall enjoyable."
Today was exhausting and I'm quite nostalgic.,I want to end up joyful.,nostalgic,joyful,"['5pUDt2BjrwMw4Eeq9utiGX', '5rI1cPhtUF6cl7SzaPrVzk', '4z0TWcbvbpr7QAcoof5lB3', '3eD1e1jN0k6Q0y4qvrXBa5', '4uSjfs3qdb3Xu9GQY1zb6C', '7oeJtWREh7o5Smqc4zIbDF', '3yxK0vLErBXrCo5FwxtN4k']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to joyful. Cohesion slightly off due to varied styles. Good artist diversity, overall enjoyable."
I'm frustrated.,Help me reach a more lonely mood.,frustrated,lonely,"['6Op2gmDbZbx99IGX0TqCi7', '5P7oEMQwgGTcGXlJpZNuFF', '5ci5B6xNix4wtY5NzxhUNs', '7I4vLcwRUEUva7y7GjvkXv', '2mkHp8qZcIXQEcMCWla6ly', '6C4LoWU6qAbWVg0FLWoqsa', '0v52PCrmbIescmKSC9q625']",2,3,3,4,3,3.0,"Transition from frustration to loneliness is partially achieved. Some tracks align well, but others seem off. Cohesion and diversity are reasonable, making the playlist somewhat enjoyable."
I'm sad.,Help me reach a more confident mood.,sad,confident,"['6pF8BpsLMONgSqR9Un9Og3', '5ZG1IpDf0NAgCRNHyB7D2f', '1NCVidYynYKXoNAWvC18fF', '5bzinIpUzdm3UpMqfLjkeU', '0GlqdnRUcT33CkNw6NzPT1', '5XcWI57xsUOjCHNAuybuTJ', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,Tracks transition well from sad to confident. Cohesion slightly off due to varied styles. Good diversity and overall enjoyable.
Today was exhausting and I'm quite frustrated.,I want to end up overwhelmed.,frustrated,overwhelmed,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '2Qmyjqintv80skLBH3W5GQ', '3YTCEinqOO7eR0qpb1h6Ig', '4uSjfs3qdb3Xu9GQY1zb6C', '1akQJ9Qen8mPrMFMpnrHE4', '1xWFIA47dN7kKgB3pmuL1a']",1,1,2,3,1,1.6,"Transition from frustration to overwhelmed is unclear. Cohesion is moderate, diversity is fair. Overall appeal and emotional alignment are low; progression is not smooth."
Right now I'm joyful,could you guide me toward feeling lonely?,joyful,lonely,"['7pj5eaRtATspZoJbA28K8p', '2ta8HicnJ5NUoFeByede7P', '3lwN3bEvzSEo1f07DmmGs0', '78IY4EmDkTwvTzqq3g3Knu', '0K4kB9fjeSqKy4YSEcQ2KD', '611908JcgU2D9LAKkqoRc1', '6V2CtIy7PXE22dBnhQW4hZ']",4,4,3,3,4,3.6,"Tracks transition from joyful to lonely well, maintaining a smooth emotional journey. Some style jumps slightly disrupt cohesion. Decent artist variety."
I'm feeling lonely after a rough day.,,lonely,calm,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks start with melancholic tones and gradually shift to more uplifting music, aligning well with desired emotional transition. Some style jumps, but overall engaging and diverse."
Ha sido agotador y estoy bastante frustrated.,Quiero terminar lonely.,frustrated,lonely,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '45pHFBSE1DsPuoEHmh14h5', '3OyL0pPLuXbtTUjKeiP65f', '0nqvtR9JWgUykjJaVOCbJT', '7AECzR4nCBWGe9ZX4dysT8', '0vHLfFCmIpP34eAbiDEjyR']",2,3,2,4,3,2.8,"Tracks start with high energy, frustration but transition to loneliness is abrupt. Diverse artists, but cohesion suffers from style jumps. Reasonable appeal but not smooth."
Currently confident.,My goal is to feel joyful on my way home.,confident,joyful,"['5FzH97VguESmSKjjUAcif2', '5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '4t8Q2xAsT1QwlOYWal7EMl', '1EbyTllypS4uyDn3cZSCmG', '4vcfmp43IaxCKxd2auRune', '12JFVn9Ec4rj9YZeD0r4IS']",4,4,3,4,4,3.8,"Tracks transition well from confident to joyful. Cohesion slightly off due to varied styles. Good artist diversity, appealing selection for most."
Right now I'm hopeful,could you guide me toward feeling calm?,hopeful,calm,"['0Nhq2Vs6Xpn3KVPhbXys10', '1gAu1GvVR0iMkCJCCzLr6o', '0yJQHWzp27NwwZo2Cbp1Xg', '2FCZlBfVNWH1oW9dUvsEgH', '0D1kdslDXUSfwwXnrL0DJH', '3Mb9Pqo2DLXEEiUwCP8jTz', '13AO6AQ9Ehe3MY4RiMKS0e']",4,4,4,3,4,3.8,"Tracks transition smoothly from hopeful to calm, maintaining a consistent style and tempo. Diversity could be higher with more varied artists."
I'm feeling lonely after a rough day.,,lonely,joyful,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks align well with the emotional journey from loneliness to upliftment. Progression is smooth, though some style jumps affect cohesion. Diverse artists enhance engagement."
Today was exhausting and I'm quite nostalgic.,I want to end up lonely.,nostalgic,lonely,"['5pUDt2BjrwMw4Eeq9utiGX', '5rI1cPhtUF6cl7SzaPrVzk', '0nqvtR9JWgUykjJaVOCbJT', '0yT7JAgiKvBrMrstpb4aq4', '1jxaHzbJefjHM547sjq17f', '012WOYxLPav7JDgl2CWTom', '7tuvW7Pic91ha9iJCH1cJP']",2,3,3,4,2,2.8,"Progression from nostalgia to loneliness is somewhat abrupt. Cohesion and diversity are decent, but emotional alignment and overall appeal are weak due to mismatched emotional journey."
I'm feeling hopeful after a rough day.,,hopeful,grateful,"['0Nhq2Vs6Xpn3KVPhbXys10', '0WqHfOb9inmZ8z90gS4RhZ', '2QsGINCIcPHYTjLn111Pk8', '5l70e7dFbPtBu3u45jgbHq', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks transition from reflective to uplifting, aligning well with moving from rough to hopeful. Cohesion slightly off due to varied styles. Good artist diversity."
Estoy calm.,Ayúdame a llegar a un estado más anxious.,calm,anxious,"['1r8PtoHnru1m7yU2isQhAx', '6lC8Sx9NCK9WatgjMujjZk', '4doeZ0Lf1g42qGUa4fguIX', '6CvTbrBxxc5jFwqsivhpxh', '2mZlz3lflR0fn0eH4w50wz', '7AAvoPBlOEF9PXH1NmjPol', '4fnRr6vZwvxW1ycJQ9TVYH']",1,2,2,3,2,2.0,"Progression somewhat erratic, not smoothly increasing anxiety. Diversity is moderate, but emotional alignment and overall appeal are low due to mismatched track emotions."
I'm sad.,Help me reach a more confident mood.,sad,confident,"['6pF8BpsLMONgSqR9Un9Og3', '5ZG1IpDf0NAgCRNHyB7D2f', '1NCVidYynYKXoNAWvC18fF', '5bzinIpUzdm3UpMqfLjkeU', '0GlqdnRUcT33CkNw6NzPT1', '5XcWI57xsUOjCHNAuybuTJ', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,"Tracks transition well from sadness to confidence, with a gradual increase in energy. Cohesion slightly off due to style shifts. Good variety and enjoyable overall."
Ahora mismo estoy nostalgic,¿puedes llevarme a sentirme hopeful?,nostalgic,hopeful,"['2mHFFFMX87sjIislelhuKd', '0J03lAiDMN7y57be6wHiQU', '1RLCZiG5XWTVbq178QNdqT', '1WT11QmhZutciEv1NsHt1R', '2FCZlBfVNWH1oW9dUvsEgH', '0QbOt7CXgRHNcdrKcI5tvl', '4AT5FDV4n1XzAqJMsBVz6n']",4,4,3,3,4,3.6,"Playlist transitions well from nostalgic to hopeful. Starts with reflective tracks, ends with uplifting tones. Some style jumps, but maintains listener interest."
Currently lonely.,My goal is to feel motivated on my way home.,lonely,motivated,"['0nqvtR9JWgUykjJaVOCbJT', '0vHLfFCmIpP34eAbiDEjyR', '4fU2mSQkAhgEjz8Jqudfo1', '7K8FQJivsq0IeUBVOqGbKB', '3brWqJXCbUema3tJcOQh5a', '7jOQW1JBmkd949yPlN96jN', '1EbyTllypS4uyDn3cZSCmG']",4,4,3,4,4,3.8,"Tracks transition well from somber to energetic, aligning with moving from loneliness to motivation. Cohesion slightly off due to varied styles. Good artist diversity and overall enjoyable."
Right now I'm calm,could you guide me toward feeling joyful?,calm,joyful,"['5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '7jncL77vlRYlSBfp4cPaUF', '3VcH4AZzVtUtHdz5jjjuT5', '2pSdhYpnPUfQ1QsPVdemZp', '4WV7Uxn76zpI5XHMITCB3N', '3uz0oJpuhXnQ1KwciBbpNR']",4,4,3,3,4,3.6,"Smooth transition from calm to joyful, with a slight dip in cohesion due to varied styles. Diversity and overall appeal are moderate, ensuring engagement."
Currently motivated.,My goal is to feel frustrated on my way home.,motivated,frustrated,"['0FCPoULJJPlMwTY50apSyv', '1r8PtoHnru1m7yU2isQhAx', '0yS0XhFaCIq85IYdxfVN76', '07BsfUDPTWpaGqx4ilgV4l', '5dowqkY18nlVDfSmkIM24v', '607lloe4XOrsGXSMOg2X1p', '0QRAmOpc8TxGQVPoGv8ZkX']",1,1,3,4,1,2.0,"Transition from motivated to frustrated is unusual and not well executed. Some tracks align, but progression feels disjointed. Cohesion and diversity are adequate."
Currently joyful.,My goal is to feel frustrated on my way home.,joyful,frustrated,"['2ta8HicnJ5NUoFeByede7P', '7pj5eaRtATspZoJbA28K8p', '7nqeS4apkG8P76rXwRwHD2', '1r8PtoHnru1m7yU2isQhAx', '3irk3JrKPi3bD7lTcWIH0r', '5dowqkY18nlVDfSmkIM24v', '07BsfUDPTWpaGqx4ilgV4l']",1,2,2,3,1,1.8,"Transitioning from joyful to frustrated is unusual and not well-supported by the playlist. Some tracks fit neither emotion. Progression is somewhat erratic, and overall appeal is low for such a journey."
Currently overwhelmed.,My goal is to feel confident on my way home.,overwhelmed,confident,"['5VHcXeuY3UKtr98xo3sTOI', '4BxMFTYTGNABZ12u7TqdHk', '1r8PtoHnru1m7yU2isQhAx', '1s65HRPwZtSG5dBIBZ0dix', '1EbyTllypS4uyDn3cZSCmG', '3fZUSiSY60HxvwF5p8et1X', '7jOQW1JBmkd949yPlN96jN']",4,4,3,4,4,3.8,"Tracks transition well from calming to empowering, fitting the emotional journey. Slight style variances, but maintains engagement with diverse artists."
I'm feeling grateful after a rough day.,,grateful,motivated,"['77Ju3Cky6yTNG2AFshGdZs', '07bUsAiB39iXgB0Ac0b0L5', '1ROlE0TfZXEWxUsDo27mI3', '0nLmAD3Jb9bHDCbqmJ52Gg', '33rMVRu0uToCka8Tukt1Ym', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",3,4,4,3,4,3.6,"Smooth progression from reflective to uplifting tracks. Cohesion maintained with similar styles. Diversity moderate, could use more varied artists. Appeals to broad audience."
Right now I'm confident,could you guide me toward feeling calm?,confident,calm,"['5FzH97VguESmSKjjUAcif2', '2zkTehkNBWVQIGda4y729C', '0GlqdnRUcT33CkNw6NzPT1', '2FCZlBfVNWH1oW9dUvsEgH', '0D1kdslDXUSfwwXnrL0DJH', '3Mb9Pqo2DLXEEiUwCP8jTz', '13AO6AQ9Ehe3MY4RiMKS0e']",4,4,4,3,4,3.8,"Tracks transition well from confident to calm, maintaining a smooth flow and consistent style. Diversity is moderate with some repeated artists."
Today was exhausting and I'm quite confident.,I want to end up grateful.,confident,grateful,"['7Lrgn4sKdlVywehdWauwny', '0zmaMRJ2mKNJSP2esc0LJg', '0WqHfOb9inmZ8z90gS4RhZ', '5l0SEh7vO1t2eIV6wr7HxH', '1JaEF8ofVVnVPj2UuD2r4N', '4GgOK4Y19fTb5vvldSMQmQ', '6kKO6AzXwMli8wyCB0k1WQ']",4,4,3,4,4,3.8,Tracks transition well from confidence to gratitude. Cohesion slightly off due to varied energy levels. Good artist diversity and overall enjoyable.
