prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
I'm motivated.,Help me reach a more joyful mood.,motivated,joyful,"['7bFyJ4FMTGT0wSTzpzSeDb', '1xSSV0IVVKfjSZgsVmxi5R', '4t8Q2xAsT1QwlOYWal7EMl', '2tuotr5du96CoZyQxXo2g6', '3PbdrxBtAx6Rnw6eolHfxw', '5uD1dAb1WHpiNfTGEpWDb9', '4bJihCBtMttMx7MvRLcyuW']",4,4,3,4,4,3.8,"Tracks transition well from motivated to joyful, maintaining energy. Some style variations, but overall cohesive and engaging."
I'm feeling overwhelmed after a rough day.,,overwhelmed,sad,"['6cKytSAcbdqKPIPk9T7sIU', '3EiKh5HfYo7mBAG21jllNL', '32L5Qkah9Bvg7RadlPjX2j', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '33rMVRu0uToCka8Tukt1Ym', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,3,4,3.6,"Tracks transition from calming to uplifting, fitting the emotional journey. Cohesion slightly off due to style shifts. Decent artist variety."
Today was exhausting and I'm quite nostalgic.,I want to end up joyful.,nostalgic,joyful,"['5pUDt2BjrwMw4Eeq9utiGX', '5rI1cPhtUF6cl7SzaPrVzk', '4z0TWcbvbpr7QAcoof5lB3', '4uSjfs3qdb3Xu9GQY1zb6C', '3N3L0iC9NfyFCwd2pT3UNR', '7oeJtWREh7o5Smqc4zIbDF', '3yxK0vLErBXrCo5FwxtN4k']",4,4,3,3,4,3.6,"Tracks start nostalgic and transition to joyful, maintaining a smooth emotional journey. Some style jumps, but overall engaging and enjoyable."
I'm frustrated.,Help me reach a more lonely mood.,frustrated,lonely,"['6Op2gmDbZbx99IGX0TqCi7', '5P7oEMQwgGTcGXlJpZNuFF', '0LEQtab4WUXcF8S1pu0FT1', '7MZqvAWQ4flM8GocWrczvY', '7I4vLcwRUEUva7y7GjvkXv', '1ZF51ThjpMNYfUPU99fAKh', '0AT5tolKxuVl6tnsQatG5C']",2,3,3,4,3,3.0,"Transition from frustration to loneliness is partially achieved. Some tracks fit well, but others don't align perfectly. Cohesion and diversity are reasonable, making the playlist somewhat enjoyable."
I'm sad.,Help me reach a more confident mood.,sad,confident,"['6pF8BpsLMONgSqR9Un9Og3', '5ZG1IpDf0NAgCRNHyB7D2f', '1NCVidYynYKXoNAWvC18fF', '7fs3oFVpSKXrtJLjXQJBba', '0GlqdnRUcT33CkNw6NzPT1', '5XcWI57xsUOjCHNAuybuTJ', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,3,4,3.6,"Tracks transition from melancholic to empowering, aligning with the mood shift. Cohesion and diversity are moderate, with some stylistic jumps but a generally engaging selection."
Today was exhausting and I'm quite frustrated.,I want to end up overwhelmed.,frustrated,overwhelmed,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '6cKytSAcbdqKPIPk9T7sIU', '4z0TWcbvbpr7QAcoof5lB3', '4uSjfs3qdb3Xu9GQY1zb6C', '4PQgxRWdk2GnjgpTYBNDaZ', '3N3L0iC9NfyFCwd2pT3UNR']",1,1,2,3,1,1.6,"Transition from frustration to overwhelmed is unclear. Emotional alignment and progression are weak, with abrupt shifts. Cohesion is moderate, diversity is fair. Overall appeal is low due to unclear emotional journey."
Right now I'm joyful,could you guide me toward feeling lonely?,joyful,lonely,"['7pj5eaRtATspZoJbA28K8p', '46qw51N1uRpENhs0cdvoWv', '3lwN3bEvzSEo1f07DmmGs0', '78IY4EmDkTwvTzqq3g3Knu', '0KCJ3JiieO8tSyvApcbU1w', '24kVrRwdW3rzrcxapLllsT', '611908JcgU2D9LAKkqoRc1']",4,4,3,4,3,3.6,"Tracks transition from joyful to lonely, maintaining a smooth emotional journey. Some style variations, but overall engaging and diverse."
I'm feeling lonely after a rough day.,,lonely,calm,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '32L5Qkah9Bvg7RadlPjX2j', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,4,4,3.8,Tracks transition well from loneliness to upliftment. Cohesion slightly off due to varied styles. Good artist diversity and enjoyable selection.
Ha sido agotador y estoy bastante frustrated.,Quiero terminar lonely.,frustrated,lonely,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '41yhjGuAlgfI5YNFr22WPE', '5vKiidjao47LUAqEVhBZG3', '0nqvtR9JWgUykjJaVOCbJT', '7408QyMbrvtDgwqYJDTUJf', '2w4sxxmRvkCnrdbv5ribGu']",2,3,2,4,3,2.8,"Tracks transition from frustration to loneliness, but shifts in style and tempo are somewhat jarring. Diversity is good, but overall cohesion and emotional alignment could be smoother."
Currently confident.,My goal is to feel joyful on my way home.,confident,joyful,"['5FzH97VguESmSKjjUAcif2', '5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '6aTipu5df4DSCn3Z609wQt', '1EbyTllypS4uyDn3cZSCmG', '1Q7o27pNP74EE3IzLVmOaH', '3Z7LQZn4vEgDivla9o5wOF']",4,4,4,3,4,3.8,"Tracks transition well from confident to joyful. Cohesive in style and tempo, but could use more artist diversity. Generally enjoyable and fitting for the emotional journey."
